date,Men,Women,diff
2003,160203,146957,13246
2004,166172,150782,15390
2005,168719,151677,17042
2006,177985,161009,16976
2007,185296,170868,14428
2008,194806,180404,14402
2009,195007,185319,9688
2010,196616,185526,11090
2011,207575,190624,16951
2012,203778,190539,13239
2013,209331,193761,15570
2014,218808,202761,16047
2015,234891,216963,17928
